CN|distinguishedName|Enabled
CPT20|CN=CPT20,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT21|CN=CPT21,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT22|CN=CPT22,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT23|CN=CPT23,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT24|CN=CPT24,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT25|CN=CPT25,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT26|CN=CPT26,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT27|CN=CPT27,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT28|CN=CPT28,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT29|CN=CPT29,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT30|CN=CPT30,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT31|CN=CPT31,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT32|CN=CPT32,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT33|CN=CPT33,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT34|CN=CPT34,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT35|CN=CPT35,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT36|CN=CPT36,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT37|CN=CPT37,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT38|CN=CPT38,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT39|CN=CPT39,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT40|CN=CPT40,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT41|CN=CPT41,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT42|CN=CPT42,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT43|CN=CPT43,OU=Luxembourg,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT44|CN=CPT44,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT45|CN=CPT45,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT46|CN=CPT46,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT47|CN=CPT47,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT48|CN=CPT48,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT49|CN=CPT49,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT50|CN=CPT50,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT51|CN=CPT51,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT52|CN=CPT52,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT53|CN=CPT53,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT54|CN=CPT54,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT55|CN=CPT55,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT56|CN=CPT56,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT57|CN=CPT57,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT58|CN=CPT58,OU=Luxembourg,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT59|CN=CPT59,OU=Luxembourg,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT60|CN=CPT60,OU=Luxembourg,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT61|CN=CPT61,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT62|CN=CPT62,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT63|CN=CPT63,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT64|CN=CPT64,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT65|CN=CPT65,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT66|CN=CPT66,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT67|CN=CPT67,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT68|CN=CPT68,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT69|CN=CPT69,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT70|CN=CPT70,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT71|CN=CPT71,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT72|CN=CPT72,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT73|CN=CPT73,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT74|CN=CPT74,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT75|CN=CPT75,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT76|CN=CPT76,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT77|CN=CPT77,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT78|CN=CPT78,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT79|CN=CPT79,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT80|CN=CPT80,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT81|CN=CPT81,OU=Luxembourg,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT82|CN=CPT82,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT83|CN=CPT83,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT84|CN=CPT84,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT85|CN=CPT85,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT86|CN=CPT86,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT87|CN=CPT87,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT88|CN=CPT88,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT89|CN=CPT89,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT90|CN=CPT90,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT91|CN=CPT91,OU=Belgique,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT92|CN=CPT92,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT93|CN=CPT93,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|False
CPT94|CN=CPT94,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT95|CN=CPT95,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT96|CN=CPT96,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
CPT97|CN=CPT97,OU=France,OU=PC,OU=Computers,DC=teknex,DC=ex|True
LAP01|CN=CPT01,OU=Laptop,OU=Computers,DC=teknex,DC=ex|True
LAP02|CN=CPT02,OU=Laptop,OU=Computers,DC=teknex,DC=ex|True
LAP03|CN=CPT03,OU=Laptop,OU=Computers,DC=teknex,DC=ex|True
LAP04|CN=CPT04,OU=Laptop,OU=Computers,DC=teknex,DC=ex|True
LAP05|CN=CPT05,OU=Laptop,OU=Computers,DC=teknex,DC=ex|True
LAP06|CN=CPT06,OU=Laptop,OU=Computers,DC=teknex,DC=ex|False
LAP07|CN=CPT07,OU=Laptop,OU=Computers,DC=teknex,DC=ex|False
LAP08|CN=CPT08,OU=Laptop,OU=Computers,DC=teknex,DC=ex|True
LAP09|CN=CPT09,OU=Laptop,OU=Computers,DC=teknex,DC=ex|True
ADM01|CN=ADM01,OU=Admin-Laptop,OU=Computers,OU=Administration,DC=teknex,DC=ex|True
ADM02|CN=ADM02,OU=Admin-Laptop,OU=Computers,OU=Administration,DC=teknex,DC=ex|True
ADM03|CN=ADM03,OU=Admin-Laptop,OU=Computers,OU=Administration,DC=teknex,DC=ex|True
ADM04|CN=ADM04,OU=Admin-PC,OU=Computers,OU=Administration,DC=teknex,DC=ex|True
